label,comments
1,这个宾馆比较陈旧了，特价的房间也很一般。总体来说一般
0,怀着十分激动的心情放映，可是看着看着发现，在放映完毕后，出现一集米老鼠的动画片！开始还怀疑是不是赠送的个别现象，可是后来发现每张DVD后面都有！真不知道生产商怎么想的，我想看的是猫和老鼠，不是米老鼠！如果厂家是想赠送的话，那就全套米老鼠和唐老鸭都赠送，只在每张DVD后面添加一集算什么？？简直是画蛇添足！！
0,还稍微重了点，可能是硬盘大的原故，还要再轻半斤就好了。其他要进一步验证。贴的几种膜气泡较多，用不了多久就要更换了，屏幕膜稍好点，但比没有要强多了。建议配赠几张膜让用用户自己贴。
1,交通方便；环境很好；服务态度很好 房间较小
1,不错，作者的观点很颠覆目前中国父母的教育方式，其实古人们对于教育已经有了很系统的体系了，可是现在的父母以及祖父母们更多的娇惯纵容孩子，放眼看去自私的孩子是大多数，父母觉得自己的孩子在外面只要不吃亏就是好事，完全把古人几千年总结的教育古训抛在的九霄云外。所以推荐准妈妈们可以在等待宝宝降临的时候，好好学习一下，怎么把孩子教育成一个有爱心、有责任心、宽容、大度的人。
1,有了第一本书的铺垫，读第二本的时候开始进入状态。基本上第二本就围绕主角们的能力训练展开，故事的主要发生场地设置在美洲的亚马逊丛林。心里一直疑惑这和西藏有什么关系，不过大概看完全书才能知道内里的线索。其中描述了很多热带雨林中特有的神秘动植物以及一些生存技巧和常识，受益匪浅。能够想像出要写这样一部书，融合这样许多的知识，作者需要花费多少心血来搜集和整理并成文。
0,前台接待太差，酒店有A B楼之分，本人check－in后，前台未告诉B楼在何处，并且B楼无明显指示；房间太小，根本不像4星级设施，下次不会再选择入住此店啦。
1,1. 白色的，很漂亮，做工还可以； 2. 网上的软件资源非常丰富，这是我买它的最主要原因； 3. 电池不错，昨天从下午两点到晚上十点还有25分钟的剩余时间（关闭摄像头，无线和蓝牙）主要拷贝东西，看起来正常使用八小时左右没问题； 4. 散热不错，CPU核心不过40~55度，很多小本要上到80度了； 5. 变压器很小巧，很多小本的电源都用的是大本的电源，本倒是很轻，可旅行重量还是比较重。
1,在当当上买了很多书，都懒于评论。但这套书真的很好，3册都非常精彩。我家小一的女儿，认字多，非常喜爱，每天睡前必读。她还告诉我，学校的语文课本中也有相同的文章。我还借给我的同事的女儿，我同事一直头疼她女儿不爱看书，但这套书，她女儿非常喜欢。两周就看完了。建议买。很少写评论，但忍不住为这套书写下。也给别的读者参考下。
0,19天硬盘就罢工了~~~算上运来的一周都没用上15天~~~可就是不能换了~~~唉~~~~你说这算什么事呀~~~
0,书一到，即被朋友借走，我是早已看过了的，买它，是因为张爱玲。看过张子静的《我的姊姊张爱玲》，可以看出，张对自己的弟弟也是不甚热情，这是她的性格。但是有一次张子静去找她，那天张爱玲却是很开心的样子。后来张子静推算，彼时张爱玲正与胡兰成相恋。很多人不耻于胡兰成的用情不专，我当然也很反感，但我也想说，胡兰成是给过张爱的欢喜的。张是怎样聪明的女子，若不是爱，她也不会那么痴。属于他们的爱情，让他们自己品尝与承担。胡的文字，确实是不错的，有一种儒雅在里面。不知道是不是那份淡淡的气氛，曾经让张心动——“岁月静好，现世安稳”。
0,"书的印刷看起来也不好,画面也不漂亮,内容的连惯性也不好,所以让人看起来一点也不能吸引孩子的兴趣和眼球,只是实在不想睡觉看一下,起催眠作用.作为家长来说,我也不爱讲这几本书."
1,没有许多网友评价热度高的问题，第一次要手动安装winxp，主板的blis-硬盘重新设置
1,请问：有些字打错了，我怎么样才可以回去编辑一下啊？
0,没有蓝牙、摄像头，连麦克风都省了 装XP有点小麻烦，MSDN原版没有SATA驱动无法安装，装雨林木风GHOST纯净版OK。 自带无线网卡驱动不能用，需到官网下载。
1,在网上偶尔看到别人的推荐，于是买一本看看，求的是轻松。那天正好坐飞机去北京，在飞机上我不停喷笑，努力克制，好歹也要装出“杜拉拉”型的职场白骨精形象。等下飞机的时候，刚好看完，却开始心里泛堵。总觉得像咬了口大红薯，虽然味美，但是卡在食道下不去，憋得慌。坐出租去酒店的时候，看到初春的北京还是处处冷涩，突然有种顿悟的感觉，北京的青春和南方的如此不同，彪悍之余还带着一点忧伤。
0,新机拿到手就有硬件问题，而且等了6天才到货，第二天就返修，到现在还没得到处理意见！
0,风扇确实够响的，尤其是到晚上周围安静下来。风扇频频开启，发热量有些惊人
1,价廉物美的好选择，晚上到机住十分合适，服务很热情，房间没地毯很清爽，海景很好看
0,"我在晚上6点30左右入住的,当时是一位男服务员为我登记,我问他可不可以作信用卡预授权，他说不可以但建议我可以用现金作为押金到退房时可以用信用卡消费．房间很大但很旧，电视机只能收到４个台的节目，在第三天我退房时要求用信用卡消费，当时一位女服务员说我之前是用现金作为押金是不可以再用信用卡消费的，还反问我说如果我要消费的话在入住时为什么不做预授权，当时我就把之前那位男服务员说的话跟他说一次后又反口说是因为现在机器坏了不能用，我跟她说我在３０分钟之前见到有一位客人才用信用卡消费过，为什么会这么快就坏了，她见我态度那么强硬就帮我用卡消费了，事实上证明了刷卡机并没有坏，当时因为我们赶着到机场坐飞机就没有再跟她理论了，但一直觉得心中有气．"
0,3999的时候抢购的 运气真好 这个价格还有什么号说的 品牌和价格都很不错
1,"这次入住少林宾馆还是比较满意的,宾馆的位置比较好找,从客运站打部计程车只要三几分钟,5块钱就可以到了,房间比较干净,算是比较宽敞的,洗澡的热水也挺舒服,最好的地方是宾馆外面有一条很旺的小吃街,晚上6点左右就开了,很多麻辣烫之类的小吃,而且有起码二三十档,选择很多,解决吃的问题很方便,而且价格也相当评议,我和我朋友一起,两个人十来块钱就吃得好饱了:)"
1,这一套书我基本买齐了，也看了好多本了。是利用闲暇时间巩固英语，学习知识的好东东。当然，再好的东西也要适合才真的能用上，如果你觉得你目前的任务是冲刺学习，那这书不一定适合你。但是，如果，你想有一个长效的学习习惯，你就可以考虑这套英文读物。另外，MP3也很不错，可在上下班的路上听，就像听广播小说，在娱乐中提高了听力。
1,"酒店设施尚可,房间内镜子太多.携程的套餐包括送水果,还有巧克力,比较温馨. 服务一般,入住时前台试图诱导我买早餐,两大一小每天早餐440元,两天共计880元,另外冰箱里的东西可以随便吃,被我拒绝了!第二天就不再送水果巧克力了,连免费的两瓶水也不给了...酒店离九龙又一城步行约15分钟,旁边有个公园,但是离地铁远了点,需要做小巴,有时6元每人,有时3元每人,开得飞快很吓人,小孩同样费用,就是这点不满意,还是住得离地铁近些比较方便."
1,这个价格这种房间环境很不错，感觉很干净^_^ 兴旺楼给我个人感觉很雅...下次来，肯定还定这里。。。
0,选择的事例太离奇了，夸大了心理咨询的现实意义，让人失去了信任感！如果说这样写的效果能在一开始抓住读者的眼球，但是看到案例主人公心理问题的原因解释时就逐渐失去了兴趣，反正有点拣了芝麻丢了西瓜的感觉。
1,简单，大方，在同类尺寸的款型的笔记本中不显厚重，轻薄感！很安静，几乎没有声音，音质不错屏幕不错，显的细腻可观。 感谢马连道提货点的工作人员（前台客服），服务态度超好，值得贵公司其他员工学习。
0,硬盘到手就发现一个坏块，因为是完美屏，没回京东换新，花了两天在本地换新硬盘，发票都不需要；电池衔接很松，可有1mm间隙；出厂时A、B面贴的保护膜太敷衍，太多气泡，虽然反正要撕掉，但说明厂家态度不严谨。
1,没发现什么优点，回来了开机什么都没有，有自己装的XP也没费什么劲，麦有些问题。对方听不清。调了好久才好了，整体还不错
1,外观漂亮，系统不是很难弄，刚开始看了很多评价说难弄，实际上没那么困难，将boot 选项第一选项选从DVD起动，其它就直接安装了。我的是安装盘，不是Ghost的。内存是三星DDR3-1066，不是DDR3-800.Everest测试是DDR3-800.我用超级兔子测试是DDR3-1066.友达LED屏，独显，满意，到手是完美屏，不错
1,"9号下午下的单子,11中午拿到货,真的很赞.机子开开后发现送个内胆包,一个擦拭布,试用了2个多小时,发现声音很小,下在速度很很不错，开网页能同时6-7不卡."
0,赠送的系统慢就改装XP算了，内装的备份是用GHOST的就好了，应该再配一根USB电脑连接线就更理想了。
1,原本在网上订了两个套房，入住后，携程还给我打电话问是否只入住了一间，要扣我信用卡里的钱。真不知道酒店与携程是如何衔接的？ 宾馆反馈 2007年12月7日 ： 我们非常感谢您的留言，非常抱歉由于一些小误会给您带来的困惑。根据我们的担保订房要求，对于确认担保的房间未入住的会收取当天房费。当然，我们也会进一步加强与携程的沟通与协调，让您今后的入住感觉更加舒适与愉快。
0,"这本书实在太烂了,什么朗读手册,一点朗读的内容都没有.看了几页就不想看下去了."
0,该酒店实际是兰州铁路局的内部招待所，位于火车站出站口处，如果不怕火车吵，那么晚上可以睡得着。 价格不算便宜，只能是一般。 房间很旧，房内设备一般，卫生排气扇坏了，抽水马桶也坏了，维修人员脾气很暴，要很有礼貌的对待。 前台服务人员素质比较差，早上退房时前台竟然找不到服务员，等了近半个小时，耽误宝贵的时间。 入住酒店停车竟然要收费。 建议不要将该酒店做为入住选择，除非你对火车有特殊的感情。
0,当时是同事极力推荐这本书。我看到网上的介绍和那么多的“名人”位置鼓噪就觉得忽悠大于内容。同事不甘心硬是买了来看。。果然，看后大呼上当！
0,从携程订房无数，唯独这家实在不感恭维。从走廊就开始一股酶味，房间也是。而且窗户是封死的。最可恶的是明明订的房间含两份早餐，前台只给一份的餐券，还说要另一份的话要就餐者拿身份证来登记。我靠，中国什么时候兴吃饭也要身份证了。我花了两份的钱，凭什么只给我一份。我的另一份，我把餐券撕了扔了，关别人什么事。此宾馆实在霸道，以后离之远点。
0,钱也付了，书干等不来，好不容易找到客服电话，原来书没有了。钱突然退回来，单位查起来还以为受贿，连个证明都没有。伤心。。当当做了那么多年，你们的总裁也天天媒体。服务还是不够精细，要不然我去你们那里管客服得了，肯定比现在好书又买了一次，总算买到了。。下次到卓越试试，看看是不是服务一样的烂
0,容易产生指纹。不习惯分区。由于出货量大了，我觉得在配货的时候更快一点就好了，我昨天到中通迅递，看到的好多都是京东的物品啊。
0,六心电池装在后面突出一大块影响美观，速度慢机器有点卡，放歌一停顿一停顿，重量比一般的上网本重，触摸板鼠标反应不灵敏，滑的区域太小，
1,这套书是买给儿子的，小家伙两岁半不到，正是这套书适合的年龄阶段。之前看了许多评价，这套书好评如潮，令我十分期待。因为一本好书可以带给人知识，给人以愉悦，哪怕他只是一个小孩子。拿到书的瞬间我就肯定我的孩子会非常喜欢这套书。果真如此，小家伙非常喜欢，与其说是看，不如说是玩起这套书来不亦乐乎。再加上大人在一旁的指点与协助，真得是一个非常好的亲子游戏呢。第一次写评价，希望好书共享。
0,本人于清明假期一家三口高高兴兴通过携程订房入住，本想来个豪华的自驾游，哪知给我的房间小得可怜，对比我住过的国内外四星级以上酒店的环境，环境算得上是“恶劣”！ 在前台办理入住手续时，工作人员告诉我1.2米以下小孩早餐免费，于是补上一个成年人的早餐，第二天用早餐时，餐厅经理却跟我说小孩需付半价，而且是算对外收费全价！ 最后经过一番交涉，酒店大堂经理给折了个8折价，但已经让我们一家游趣全无！ 酒店的房间环境根本不值四星水平！装修旧，房间小，但酒店的地理位置好，所以就能如此定高价么？不解！ 补充点评 2008年4月23日 ： 对了，还有上网居然是收费的，这还是在国内第一碰到！不可思议！
0,这样的男人，温柔的过了头，找不到一丝男人的气概。只会说：这是好的。。。这也是好的。。。无法欣赏这样的文笔优美在何处。爱情也是奇怪，张爱玲爱上了这样的一个人，隐隐地，大概是一辈子的影子。
0,第一次装xp到一半蓝屏，不过进bios，在advanced一栏里把硬盘模式从achi改为ide即可。驱动网上都有，下载g430驱动就行了
0,光驱确实不怎么好，装系统的时候就怕它挂掉，还好顺利装上系统了，装好后立马做了个镜像，估计以后也不用光驱了
1,在我刚开始从事设计的时候，阿尔瓦 阿尔托是第一个与我有缘，超越时代，地域对我指点的前辈。在他的世界里 没有概念的约束，这是任何渴望为了自由设计而用心的人最需要的精神内在与动力。美丽需要的两个前提是 干净 和 幽默。美丽的人。而这位建筑师 设计家可能具备的更多。宜家家居至今还在销售他在上个世纪30年代设计的曲线板读书椅。这本书物美价廉，适合热爱自由设计的每个人，我想是这样的。一九七九五月韩
0,外包装写是内存2G，可是内清单标的是1G，不知道是怎么回事，希望有了解的朋友帮忙解决一下，谢谢。
0,这本书，让我觉得很不值得买。关于毕淑敏的犀利洒脱细腻，在这本小说中无法得以体现。似乎迎合了目前一部分低层次读者的需要，有些媚俗之嫌。很想退掉。因为，我直接没有看完。
